,base,clouds,cod,coord,dt,id,main,message,name,rain,snow,sys,visibility,weather,wind
0,stations,{'all': 0},200,"{'lon': 166.1, 'lat': 60.47}",1554491504.0,2120591.0,"{'temp': 16.52, 'pressure': 1014.11, 'humidity': 65, 'temp_min': 16.52, 'temp_max': 16.52, 'sea_level': 1014.11, 'grnd_level': 994.22}",,Tilichiki,,,"{'message': 0.0036, 'country': 'RU', 'sunrise': 1554487627, 'sunset': 1554536939}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 2.39, 'deg': 23.0011}"
1,stations,{'all': 64},200,"{'lon': -151.75, 'lat': -16.48}",1554491504.0,4034551.0,"{'temp': 84.02, 'pressure': 1013.95, 'humidity': 100, 'temp_min': 84.02, 'temp_max': 84.02, 'sea_level': 1013.95, 'grnd_level': 1013.82}",,Faanui,,,"{'message': 0.0032, 'country': 'PF', 'sunrise': 1554480797, 'sunset': 1554523542}",,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 14.81, 'deg': 107.501}"
2,,,404,,,,,city not found,,,,,,,
3,stations,{'all': 36},200,"{'lon': -69.36, 'lat': 77.48}",1554491505.0,3831208.0,"{'temp': 5.72, 'pressure': 1022.59, 'humidity': 88, 'temp_min': 5.72, 'temp_max': 5.72, 'sea_level': 1022.59, 'grnd_level': 989.26}",,Qaanaaq,,,"{'message': 0.0037, 'country': 'GL', 'sunrise': 1554452896, 'sunset': 1554511904}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 9.66, 'deg': 92.5011}"
4,stations,{'all': 20},200,"{'lon': 112.45, 'lat': -7.54}",1554487200.0,1635111.0,"{'temp': 77, 'pressure': 1011, 'humidity': 100, 'temp_min': 77, 'temp_max': 77}",,Puri,,,"{'type': 1, 'id': 9363, 'message': 0.0094, 'country': 'ID', 'sunrise': 1554503553, 'sunset': 1554546760}",3000.0,"[{'id': 701, 'main': 'Mist', 'description': 'mist', 'icon': '50n'}]","{'speed': 4.7, 'deg': 260}"
5,stations,{'all': 8},200,"{'lon': 74.49, 'lat': 15.34}",1554491505.0,1273574.0,"{'temp': 71.96, 'pressure': 1013.19, 'humidity': 86, 'temp_min': 71.96, 'temp_max': 71.96, 'sea_level': 1013.19, 'grnd_level': 949.1}",,Vaini,,,"{'message': 0.0043, 'country': 'IN', 'sunrise': 1554512043, 'sunset': 1554556487}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '02n'}]","{'speed': 2.62, 'deg': 248.501}"
6,stations,{'all': 24},200,"{'lon': 149.07, 'lat': -23.58}",1554491457.0,2175403.0,"{'temp': 66.02, 'pressure': 1020.07, 'humidity': 75, 'temp_min': 66.02, 'temp_max': 66.02, 'sea_level': 1020.07, 'grnd_level': 997.34}",,Bluff,,,"{'message': 0.003, 'country': 'AU', 'sunrise': 1554495202, 'sunset': 1554537537}",,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02n'}]","{'speed': 8.55, 'deg': 107.001}"
7,stations,{'all': 75},200,"{'lon': -68.31, 'lat': -54.81}",1554487200.0,3833367.0,"{'temp': 52.57, 'pressure': 973, 'humidity': 66, 'temp_min': 51.8, 'temp_max': 53.6}",,Ushuaia,,,"{'type': 1, 'id': 8303, 'message': 0.0047, 'country': 'AR', 'sunrise': 1554462267, 'sunset': 1554502028}",10000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]","{'speed': 18.34, 'deg': 360, 'gust': 13.9}"
8,stations,{'all': 20},200,"{'lon': -61.45, 'lat': 10.24}",1554491118.0,3573739.0,"{'temp': 88.39, 'pressure': 1013, 'humidity': 52, 'temp_min': 87.01, 'temp_max': 90}",,Esperance,,,"{'type': 1, 'id': 8810, 'message': 0.004, 'country': 'TT', 'sunrise': 1554458436, 'sunset': 1554502568}",10000.0,"[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]","{'speed': 14.99, 'deg': 110}"
9,stations,{'all': 92},200,"{'lon': 167.18, 'lat': -15.51}",1554491506.0,2136150.0,"{'temp': 81.41, 'pressure': 1011.27, 'humidity': 100, 'temp_min': 81.41, 'temp_max': 81.41, 'sea_level': 1011.27, 'grnd_level': 1008.94}",,Luganville,,,"{'message': 0.0033, 'country': 'VU', 'sunrise': 1554490629, 'sunset': 1554533419}",,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]","{'speed': 7.09, 'deg': 145.501}"
10,stations,{'all': 0},200,"{'lon': 16.43, 'lat': -28.55}",1554491506.0,3354071.0,"{'temp': 60.26, 'pressure': 1017.03, 'humidity': 94, 'temp_min': 60.26, 'temp_max': 60.26, 'sea_level': 1017.03, 'grnd_level': 1016.38}",,Oranjemund,,,"{'message': 0.0032, 'country': 'ZA', 'sunrise': 1554440766, 'sunset': 1554482863}",,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]","{'speed': 25.1, 'deg': 157.001}"
11,stations,{'all': 32},200,"{'lon': -56.15, 'lat': 72.79}",1554491358.0,3418910.0,"{'temp': 16.34, 'pressure': 1015.59, 'humidity': 100, 'temp_min': 16.34, 'temp_max': 16.34, 'sea_level': 1015.59, 'grnd_level': 1012.38}",,Upernavik,,,"{'message': 0.0039, 'country': 'GL', 'sunrise': 1554452120, 'sunset': 1554506339}",,"[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]","{'speed': 18.16, 'deg': 359.001}"
12,stations,{'all': 90},200,"{'lon': -161.76, 'lat': 60.79}",1554490560.0,5880568.0,"{'temp': 24.3, 'pressure': 997, 'humidity': 62, 'temp_min': 23, 'temp_max': 26.6}",,Bethel,,,"{'type': 1, 'id': 7640, 'message': 0.0041, 'country': 'US', 'sunrise': 1554479890, 'sunset': 1554529252}",16093.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]","{'speed': 14.99, 'deg': 20}"
13,,,404,,,,,city not found,,,,,,,
